0x0000 | 0b0000000000000 | 000 | minecraft:air                           | minecraft:air
0x0001 | 0b0000000000001 | --- | --------------------------------------- | ---
0x0002 | 0b0000000000010 | --- | --------------------------------------- | ---
0x0003 | 0b0000000000011 | --- | --------------------------------------- | ---
0x0004 | 0b0000000000100 | --- | --------------------------------------- | ---
0x0005 | 0b0000000000101 | --- | --------------------------------------- | ---
0x0006 | 0b0000000000110 | --- | --------------------------------------- | ---
0x0007 | 0b0000000000111 | --- | --------------------------------------- | ---
0x0008 | 0b0000000001000 | --- | --------------------------------------- | ---
0x0009 | 0b0000000001001 | --- | --------------------------------------- | ---
0x000a | 0b0000000001010 | --- | --------------------------------------- | ---
0x000b | 0b0000000001011 | --- | --------------------------------------- | ---
0x000c | 0b0000000001100 | --- | --------------------------------------- | ---
0x000d | 0b0000000001101 | --- | --------------------------------------- | ---
0x000e | 0b0000000001110 | --- | --------------------------------------- | ---
0x000f | 0b0000000001111 | --- | --------------------------------------- | ---
0x0010 | 0b0000000010000 | 001 | minecraft:stone                         | minecraft:stone[variant=stone]
0x0011 | 0b0000000010001 | 001 | minecraft:stone                         | minecraft:stone[variant=granite]
0x0012 | 0b0000000010010 | 001 | minecraft:stone                         | minecraft:stone[variant=smooth_granite]
0x0013 | 0b0000000010011 | 001 | minecraft:stone                         | minecraft:stone[variant=diorite]
0x0014 | 0b0000000010100 | 001 | minecraft:stone                         | minecraft:stone[variant=smooth_diorite]
0x0015 | 0b0000000010101 | 001 | minecraft:stone                         | minecraft:stone[variant=andesite]
0x0016 | 0b0000000010110 | 001 | minecraft:stone                         | minecraft:stone[variant=smooth_andesite]
0x0017 | 0b0000000010111 | --- | --------------------------------------- | ---
0x0018 | 0b0000000011000 | --- | --------------------------------------- | ---
0x0019 | 0b0000000011001 | --- | --------------------------------------- | ---
0x001a | 0b0000000011010 | --- | --------------------------------------- | ---
0x001b | 0b0000000011011 | --- | --------------------------------------- | ---
0x001c | 0b0000000011100 | --- | --------------------------------------- | ---
0x001d | 0b0000000011101 | --- | --------------------------------------- | ---
0x001e | 0b0000000011110 | --- | --------------------------------------- | ---
0x001f | 0b0000000011111 | --- | --------------------------------------- | ---
0x0020 | 0b0000000100000 | 002 | minecraft:grass                         | minecraft:grass[snowy=false]
0x0021 | 0b0000000100001 | --- | --------------------------------------- | ---
0x0022 | 0b0000000100010 | --- | --------------------------------------- | ---
0x0023 | 0b0000000100011 | --- | --------------------------------------- | ---
0x0024 | 0b0000000100100 | --- | --------------------------------------- | ---
0x0025 | 0b0000000100101 | --- | --------------------------------------- | ---
0x0026 | 0b0000000100110 | --- | --------------------------------------- | ---
0x0027 | 0b0000000100111 | --- | --------------------------------------- | ---
0x0028 | 0b0000000101000 | --- | --------------------------------------- | ---
0x0029 | 0b0000000101001 | --- | --------------------------------------- | ---
0x002a | 0b0000000101010 | --- | --------------------------------------- | ---
0x002b | 0b0000000101011 | --- | --------------------------------------- | ---
0x002c | 0b0000000101100 | --- | --------------------------------------- | ---
0x002d | 0b0000000101101 | --- | --------------------------------------- | ---
0x002e | 0b0000000101110 | --- | --------------------------------------- | ---
0x002f | 0b0000000101111 | --- | --------------------------------------- | ---
0x0030 | 0b0000000110000 | 003 | minecraft:dirt                          | minecraft:dirt[snowy=false,variant=dirt]
0x0031 | 0b0000000110001 | 003 | minecraft:dirt                          | minecraft:dirt[snowy=false,variant=coarse_dirt]
0x0032 | 0b0000000110010 | 003 | minecraft:dirt                          | minecraft:dirt[snowy=false,variant=podzol]
0x0033 | 0b0000000110011 | --- | --------------------------------------- | ---
0x0034 | 0b0000000110100 | --- | --------------------------------------- | ---
0x0035 | 0b0000000110101 | --- | --------------------------------------- | ---
0x0036 | 0b0000000110110 | --- | --------------------------------------- | ---
0x0037 | 0b0000000110111 | --- | --------------------------------------- | ---
0x0038 | 0b0000000111000 | --- | --------------------------------------- | ---
0x0039 | 0b0000000111001 | --- | --------------------------------------- | ---
0x003a | 0b0000000111010 | --- | --------------------------------------- | ---
0x003b | 0b0000000111011 | --- | --------------------------------------- | ---
0x003c | 0b0000000111100 | --- | --------------------------------------- | ---
0x003d | 0b0000000111101 | --- | --------------------------------------- | ---
0x003e | 0b0000000111110 | --- | --------------------------------------- | ---
0x003f | 0b0000000111111 | --- | --------------------------------------- | ---
0x0040 | 0b0000001000000 | 004 | minecraft:cobblestone                   | minecraft:cobblestone
0x0041 | 0b0000001000001 | --- | --------------------------------------- | ---
0x0042 | 0b0000001000010 | --- | --------------------------------------- | ---
0x0043 | 0b0000001000011 | --- | --------------------------------------- | ---
0x0044 | 0b0000001000100 | --- | --------------------------------------- | ---
0x0045 | 0b0000001000101 | --- | --------------------------------------- | ---
